order_uuid,component_name,system_name,manufacturer_id,part_no,serial_no,status,status_date,ordered_by
7a94d9e3-b160-4824-89af-93792791ba39,Driver_pump_hyd,HYDRAULIC,1783,963787,2087537,ORDERED,2020-11-11 20:40:16,
aa75e35d-91f2-4f40-9177-0c41b5019378,Bed casing nav,NAVIGATION,3333,858730,4542589,SHIPPED,1991-08-07 11:06:59,
98118601-c57f-444b-b080-e119ad9b4851,Driver o-ring hyd,HYDRAULIC,2489,424735,895752,RECEIVED,2010-10-18 21:23:52,
0379c047-3be5-4dee-ad53-2360f8bc8d79,Roof piston ele,ELECTRICAL,3333,608068,9563423,ORDERED,1998-10-21 17:02:56,
f9a3e2bd-1493-411a-a737-799d0c9738db,bed_weld_ELE,ELECTRICAL,2489,391013,4243176,PENDING,2013-07-28 11:01:43,"Bolton, Michael"
9a0bfb09-f659-41f4-870e-4385d33adc35,wheel-well filter TRA,TRANSMISSION,2489,758657,3779712,SHIPPED,2009-09-10 17:48:33,
4dec1e06-03cb-4b95-a804-111dda5ce6ce,wheel-well filter TRA,TRANSMISSION,1998,554152,6687963,RECEIVED,1997-07-22 21:54:56,
9502ed4d-5bd1-439f-903a-5d1cbe2b1bec,Roof_piston_ele,ELECTRICAL,7957,858420,608105,ORDERED,1999-04-10 05:05:52,
dc2b7834-1449-4868-8739-74434f38dcab,Cabin wiring nav,NAVIGATION,2489,642646,8640744,RECEIVED,2000-04-22 12:16:25,
9b585424-311c-4ddd-b477-8064b8c5db39,Wheel-well_wiring_nav,NAVIGATION,1484,480341,132541,SHIPPED,2019-06-05 00:04:43,
18ae42fc-5d46-4c6c-8b1c-dbfa17502cdb,engine-bay pump HYD,HYDRAULIC,7957,383550,5450313,ORDERED,1997-05-05 00:40:44,
9a0aca3c-5ce2-4d37-bc80-0ec000fc75c5,Driver_piston_ele,ELECTRICAL,2489,581124,5048354,SHIPPED,2007-05-21 21:24:05,
cda74a30-f972-4bd1-a1e1-8a69df1bb66a,Bed pump hyd,HYDRAULIC,3333,492589,7894017,SHIPPED,2001-04-25 05:32:20,
2d9b57aa-a552-4b6d-8b34-9df8f3066910,Wheel-well_screw_holder_hyd,HYDRAULIC,1484,515093,955041,ORDERED,2013-01-05 23:48:14,
c253fbd0-858d-40c1-8796-21e8f2c87691,driver_o-ring_HYD,HYDRAULIC,3333,727588,5109344,ORDERED,1991-06-24 00:00:01,
c7e86c4f-68e3-4c3b-8465-156ea92079b5,passenger_joint_ELE_002,ELECTRICAL,6467,302760,1656984,RECEIVED,1992-05-16 11:49:36,
7caa59aa-3a9e-4213-aec8-aed31d28501a,Driver_flange_ele_001,ELECTRICAL,1484,632025,4405295,PENDING,2002-05-19 19:15:20,Michael Bolton
64bdaa5c-5aa3-4ba5-97f3-9c3e4fdac2f9,passenger_casing_ELE,ELECTRICAL,1998,554152,2412066,ORDERED,2020-09-28 10:51:59,
